timestamp,unix,symbol,timeframe,type,entry,open,high,low,atr,rsi,ema8,ema21,ema_diff,is_trending,is_volatile,bull_score,bear_score,outcome,pnl,sl,tp,hold_candles
2026-03-02T03:42:00.000Z,1772422920,JD10,60,SELL,99768.98,99768.98,99768.98,99768.98,19.07857,0,99780.62791,99751.84356,28.78435,1,1,0,0,SL,-19.07857,99788.05857,99740.36214,120
2026-03-02T03:45:00.000Z,1772423100,JD10,60,BUY,99798.26,99798.26,99798.26,99798.26,19.05,100,99780.6942,99758.60663,22.08758,1,1,1,0,SL,-19.05,99779.21,99826.835,60
2026-03-02T03:47:00.000Z,1772423220,JD10,60,SELL,99772.21,99774.85,99774.85,99772.21,16.31143,9.27,99779.40686,99761.91738,17.48949,1,1,0,0,SL,-16.31143,99788.52143,99747.74286,0
2026-03-02T03:49:00.000Z,1772423340,JD10,60,BUY,99824.41,99824.41,99824.41,99824.41,18.64143,100,99792.52662,99770.57387,21.95276,1,1,1,0,SL,-18.64143,99805.76857,99852.37214,60
2026-03-02T03:51:00.000Z,1772423460,JD10,60,SELL,99787.84,99788.35,99795.99,99787.84,20.11143,67.5,99795.34647,99775.79675,19.54973,1,1,0,1,SL,-20.11143,99807.95143,99757.67286,60
2026-03-02T03:52:00.000Z,1772423520,JD10,60,SELL,99774.51,99776.81,99776.81,99774.51,19.6,11.9,99791.74504,99776.10068,15.64436,1,1,0,1,SL,-19.6,99794.11,99745.11,60
2026-03-02T03:58:00.000Z,1772423880,JD10,60,BUY,99836.57,99835.37,99836.57,99832.1,20.57071,72.68,99808.92915,99790.56354,18.3656,1,1,1,0,SL,-20.57071,99815.99929,99867.42607,300
2026-03-02T04:19:00.000Z,1772425140,JD10,60,SELL,99708.37,99709.15,99709.15,99707.25,20.85429,0,99736.08789,99755.75635,-19.66846,1,1,0,1,SL,-20.85429,99729.22429,99677.08857,60
2026-03-02T04:21:00.000Z,1772425260,JD10,60,BUY,99727.95,99727.95,99727.95,99727.95,17.63286,99.71,99731.83613,99750.45021,-18.61408,1,0,0,0,SL,-17.63286,99710.31714,99754.39929,120
2026-03-02T04:25:00.000Z,1772425500,JD10,60,SELL,99694.55,99697.02,99697.02,99694.55,16.90857,1.47,99718.75649,99738.68357,-19.92708,1,1,0,2,SL,-16.90857,99711.45857,99669.18714,0
2026-03-02T04:32:00.000Z,1772425920,JD10,60,SELL,99681.64,99681.64,99681.64,99681.64,17.33,0,99705.22565,99722.44648,-17.22083,1,1,0,2,SL,-17.33,99698.97,99655.645,240
2026-03-02T04:49:00.000Z,1772426940,JD10,60,BUY,99808.76,99805.49,99808.76,99798.07,21.96357,8.21,99780.44797,99752.67881,27.76916,1,1,2,0,TP,32.94536,99786.79643,99841.70536,0
2026-03-02T04:50:00.000Z,1772427000,JD10,60,BUY,99885.16,99881.29,99885.16,99881.29,26.36857,99.7,99803.14398,99764.48801,38.65597,1,1,2,0,SL,-26.36857,99858.79143,99924.71286,60
2026-03-02T04:51:00.000Z,1772427060,JD10,60,BUY,99904.96,99900.9,99904.96,99899.79,25.48929,88.99,99825.48754,99777.14274,48.3448,1,1,2,0,SL,-25.48929,99879.47071,99943.19393,120
2026-03-02T04:55:00.000Z,1772427300,JD10,60,SELL,99860.94,99860.94,99860.94,99860.94,25.24429,63.46,99857.98722,99809.40338,48.58384,1,1,0,1,TP,37.86643,99886.18429,99823.07357,600
2026-03-02T08:23:00.000Z,1772439780,JD10,60,BUY,99361.85,99359.98,99361.85,99359.98,22.54286,98.2,99358.52504,99388.2723,-29.74726,1,1,1,0,SL,-22.54286,99339.30714,99395.66429,60
2026-03-02T11:20:00.000Z,1772450400,JD10,60,SELL,99081.36,99084.06,99086.07,99081.36,23.51357,48.74,99099.06645,99136.919,-37.85256,1,1,0,0,SL,-23.51357,99104.87357,99046.08964,360
2026-03-02T11:34:00.000Z,1772451240,JD10,60,SELL,99106.35,99106.81,99112.65,99106.35,17.65286,46.16,99109.0128,99112.31173,-3.29893,1,1,0,1,SL,-17.65286,99124.00286,99079.87071,60
