timestamp,unix,symbol,timeframe,type,entry,open,high,low,atr,rsi,ema8,ema21,ema_diff,is_trending,is_volatile,bull_score,bear_score,outcome,pnl,sl,tp,hold_candles
2026-03-03T13:58:00.000Z,1772546280,R_100,60,BUY,779.69,779.24,780.39,779.21,1.51786,73.21,776.46844,776.59102,-0.12258,1,1,2,0,SL,-0.75893,778.93107,780.44893,60
2026-03-03T14:01:00.000Z,1772546460,R_100,60,SELL,776.99,777.27,777.27,776.99,1.46357,2.98,777.23585,776.94241,0.29344,1,1,0,2,SL,-0.73179,777.72179,776.25821,60
2026-03-03T14:07:00.000Z,1772546820,R_100,60,SELL,774.75,774.82,775.7,774.75,1.55071,34.39,777.00281,777.09407,-0.09126,1,1,0,1,SL,-0.77536,775.52536,773.97464,60
2026-03-03T14:10:00.000Z,1772547000,R_100,60,SELL,774.21,774.21,774.21,774.21,1.54643,6.95,775.94313,776.59355,-0.65042,1,1,0,1,SL,-0.77321,774.98321,773.43679,60
2026-03-03T14:12:00.000Z,1772547120,R_100,60,BUY,775.37,775.37,775.37,775.37,1.465,33.08,775.61967,776.33542,-0.71574,1,1,0,0,SL,-0.7325,774.6375,776.1025,60
2026-03-03T14:13:00.000Z,1772547180,R_100,60,BUY,776.79,776.52,776.79,776.52,1.48,95.24,775.85975,776.36856,-0.50881,1,1,2,0,SL,-0.74,776.05,777.53,60
2026-03-04T02:30:00.000Z,1772591400,R_100,60,SELL,811.51,812.04,812.29,811.33,1.42,38.68,812.95624,812.48683,0.46941,1,1,0,1,SL,-0.71,812.22,810.8,60
2026-03-04T14:14:00.000Z,1772633640,R_100,60,BUY,811.17,811.17,811.17,811.17,1.49,1.25,814.25245,817.04445,-2.792,1,1,0,2,SL,-1.49,809.68,813.405,0
2026-03-04T14:17:00.000Z,1772633820,R_100,60,BUY,809.44,809.44,809.44,809.44,1.54786,44.22,811.54259,815.07297,-3.53037,1,1,2,0,SL,-1.54786,807.89214,811.76179,60
2026-03-04T14:35:00.000Z,1772634900,R_100,300,BUY,803.46,810.27,810.54,803.46,4.21786,12.92,812.94258,818.88976,-5.94718,1,1,1,0,TP,6.32679,799.24214,809.78679,300
2026-03-04T14:50:00.000Z,1772635800,R_100,300,BUY,801.88,801.88,801.88,801.88,4.11857,98.8,806.85337,814.56139,-7.70803,1,1,1,0,SL,-4.11857,797.76143,808.05786,300
2026-03-05T03:45:00.000Z,1772682300,R_100,300,BUY,777.16,775.17,777.57,775.17,4.27643,33.98,779.83174,783.57199,-3.74025,1,1,0,1,SL,-4.27643,772.88357,783.57464,300
2026-03-05T06:25:00.000Z,1772691900,R_100,300,SELL,789.24,789.24,789.24,789.24,2.98214,1.78,786.99076,784.53193,2.45882,1,1,0,0,SL,-2.98214,792.22214,784.76679,0
2026-03-05T06:40:00.000Z,1772692800,R_100,300,SELL,791.9,791.9,791.9,791.9,3.02,0.18,789.86012,786.49135,3.36877,1,1,0,1,TP,4.53,794.92,787.37,300
2026-03-05T09:05:00.000Z,1772701500,R_100,300,BUY,773.91,773.91,773.91,773.91,3.2,51.17,775.75976,778.30299,-2.54322,1,1,0,0,TP,-0.09771,157.34114,157.17829,0
2026-03-05T11:30:00.000Z,1772710200,R_100,300,SELL,787.7,787.7,787.7,787.7,3.83857,0.01,782.87779,779.15877,3.71903,1,1,0,1,SL,-3.83857,791.53857,781.94214,300
2026-03-06T03:20:00.000Z,1772767200,R_100,300,BUY,793.89,793.89,793.89,793.89,3.81643,99.32,796.09693,799.73494,-3.63801,1,1,0,0,TP,5.72464,790.07357,799.61464,300
