timestamp,unix,symbol,timeframe,type,entry,open,high,low,atr,rsi,ema8,ema21,ema_diff,is_trending,is_volatile,bull_score,bear_score,outcome,pnl,sl,tp,hold_candles
2026-03-04T03:07:00.000Z,1772593620,1HZ100V,60,SELL,1416.28,1416.28,1416.28,1416.28,3.17643,0.97,1420.5141,1422.24236,-1.72825,1,1,0,1,SL,-1.58821,1417.86821,1414.69179,60
2026-03-04T03:12:00.000Z,1772593920,1HZ100V,60,BUY,1420.73,1420.41,1420.73,1420.32,3.085,94.35,1418.53175,1420.39437,-1.86262,1,1,1,0,SL,-1.5425,1419.1875,1422.2725,60
2026-03-04T03:14:00.000Z,1772594040,1HZ100V,60,SELL,1415.97,1415.97,1415.97,1415.97,2.88786,0.32,1418.21822,1419.95452,-1.7363,1,1,0,1,SL,-1.44393,1417.41393,1414.52607,60
2026-03-04T03:23:00.000Z,1772594580,1HZ100V,60,BUY,1416.59,1416.59,1416.59,1416.59,2.65357,95.95,1415.83844,1417.4764,-1.63796,1,1,1,0,SL,-1.32679,1415.26321,1417.91679,60
2026-03-04T03:27:00.000Z,1772594820,1HZ100V,60,BUY,1418.77,1418.77,1418.77,1418.77,2.49643,99.72,1416.98324,1417.49328,-0.51004,1,1,0,0,SL,-1.24821,1417.52179,1420.01821,60
2026-03-04T03:34:00.000Z,1772595240,1HZ100V,60,SELL,1415.18,1415.51,1415.51,1415.18,2.625,3.4,1417.53173,1417.65449,-0.12275,1,1,0,1,SL,-1.3125,1416.4925,1413.8675,60
2026-03-04T03:39:00.000Z,1772595540,1HZ100V,60,BUY,1422.65,1422.54,1422.65,1422.52,2.73929,99.32,1418.914,1418.16087,0.75313,1,1,1,0,SL,-1.36964,1421.28036,1424.01964,60
2026-03-04T03:42:00.000Z,1772595720,1HZ100V,60,BUY,1422.75,1422.75,1422.75,1422.75,2.775,97.26,1420.14936,1418.88777,1.26159,1,1,1,0,SL,-1.3875,1421.3625,1424.1375,60
2026-03-04T03:46:00.000Z,1772595960,1HZ100V,60,SELL,1416.12,1416.37,1417.21,1416.12,3.03429,22.5,1419.2591,1418.93524,0.32386,1,1,0,1,SL,-1.51714,1417.63714,1414.60286,60
2026-03-04T03:50:00.000Z,1772596200,1HZ100V,60,SELL,1412.62,1412.78,1412.78,1412.62,3.00786,1.45,1416.42631,1417.72601,-1.2997,1,1,0,0,SL,-1.50393,1414.12393,1411.11607,60
2026-03-04T04:11:00.000Z,1772597460,1HZ100V,60,BUY,1415.06,1414.65,1415.06,1414.35,2.96429,72.08,1411.70188,1412.19088,-0.489,1,1,2,0,SL,-1.48214,1413.57786,1416.54214,60
2026-03-04T04:12:00.000Z,1772597520,1HZ100V,60,BUY,1415.81,1415.66,1415.81,1414.51,2.93429,13.82,1412.56146,1412.49807,0.06339,1,1,1,0,SL,-1.46714,1414.34286,1417.27714,60
2026-03-04T04:17:00.000Z,1772597820,1HZ100V,60,SELL,1412.16,1412.62,1413.29,1412.16,2.68571,52.52,1413.69725,1413.22376,0.47348,1,1,0,1,SL,-1.34286,1413.50286,1410.81714,60
2026-03-04T04:26:00.000Z,1772598360,1HZ100V,60,SELL,1413.37,1413.81,1414.14,1413.37,2.34929,7.15,1414.9754,1414.22926,0.74614,1,1,0,2,SL,-1.17464,1414.54464,1412.19536,60
2026-03-04T04:37:00.000Z,1772599020,1HZ100V,60,BUY,1414.06,1414.06,1414.06,1414.06,2.7,99.79,1412.63026,1413.20636,-0.57611,1,1,1,0,SL,-1.35,1412.71,1415.41,60
2026-03-04T04:38:00.000Z,1772599080,1HZ100V,60,BUY,1415.42,1415.1,1415.42,1414.7,2.73286,82.23,1413.21687,1413.39397,-0.1771,1,1,1,0,SL,-1.36643,1414.05357,1416.78643,60
2026-03-04T04:40:00.000Z,1772599200,1HZ100V,60,SELL,1410.86,1410.86,1410.86,1410.86,2.80929,0.3,1412.71094,1413.15212,-0.44118,1,1,0,1,SL,-1.40464,1412.26464,1409.45536,60
