timestamp,unix,symbol,timeframe,type,entry,open,high,low,atr,rsi,ema8,ema21,ema_diff,is_trending,is_volatile,bull_score,bear_score,outcome,pnl,sl,tp,hold_candles
2026-03-02T14:09:00.000Z,1772460540,frxXAUUSD,60,SELL,5377.44,5382.9,5385.35,5377.17,4.975,26.16,5385.62687,5389.57881,-3.95194,1,1,0,0,SL,-4.975,5382.415,5369.9775,60
2026-03-02T14:18:00.000Z,1772461080,frxXAUUSD,60,SELL,5366.23,5367.36,5367.53,5366.23,6.125,10.03,5372.92092,5379.48631,-6.56539,1,1,0,0,TP,9.1875,5372.355,5357.0425,240
2026-03-02T14:23:00.000Z,1772461380,frxXAUUSD,60,SELL,5349.11,5349.11,5349.11,5349.11,6.21143,0,5362.94191,5372.22389,-9.28198,1,1,0,1,SL,-6.21143,5355.32143,5339.79286,60
2026-03-02T14:26:00.000Z,1772461560,frxXAUUSD,60,SELL,5324.8,5329.61,5329.61,5324.8,7.785,13.51,5350.88183,5364.58369,-13.70186,1,1,0,1,SL,-7.785,5332.585,5313.1225,60
2026-03-02T14:29:00.000Z,1772461740,frxXAUUSD,60,BUY,5333.96,5332.97,5333.96,5332.43,9.62714,83.43,5337.4864,5354.63857,-17.15217,1,1,1,0,SL,-9.62714,5324.33286,5348.40071,60
2026-03-02T14:36:00.000Z,1772462160,frxXAUUSD,60,BUY,5328.73,5327.54,5328.73,5327.54,12.39143,97.8,5324.96264,5339.30343,-14.34079,1,1,1,0,SL,-12.39143,5316.33857,5347.31714,60
2026-03-02T14:46:00.000Z,1772462760,frxXAUUSD,60,SELL,5339.16,5339.74,5342.83,5338.14,8.81714,81.78,5344.4547,5343.31747,1.13723,1,1,0,2,SL,-8.81714,5347.97714,5325.93429,60
2026-03-02T14:47:00.000Z,1772462820,frxXAUUSD,60,SELL,5333.04,5333.89,5333.89,5333.04,8.02929,0.48,5342.0781,5342.44861,-0.37051,1,1,0,2,SL,-8.02929,5341.06929,5320.99607,60
2026-03-02T14:52:00.000Z,1772463120,frxXAUUSD,60,SELL,5334.01,5334.83,5334.83,5334.01,5.76143,1.7,5338.72937,5340.61006,-1.8807,1,1,0,0,TP,8.64214,5339.77143,5325.36786,0
