timestamp,unix,symbol,timeframe,type,entry,open,high,low,atr,rsi,ema8,ema21,ema_diff,is_trending,is_volatile,bull_score,bear_score,outcome,pnl,sl,tp,hold_candles
2026-04-04T17:25:00.000Z,1775323500,JD75,300,BUY,16182.44,16182.44,16182.44,16182.44,50.25714,56.88,16189.3898,16143.89302,45.49678,0,1,0,0,TP,100.51429,16081.92571,16282.95429,300
2026-04-04T20:10:00.000Z,1775333400,JD75,300,SELL,15906.92,15906.92,15906.92,15906.92,62.01,0,15928.39662,15994.92735,-66.53073,0,1,0,2,SL,-124.02,16030.94,15782.9,300
2026-04-05T00:52:00.000Z,1775350320,JD75,60,SELL,15133.24,15133.24,15133.24,15133.24,20.58643,0.58,15152.07903,15147.64507,4.43396,0,1,0,1,SL,-6.17593,15139.41593,15122.94679,60
