timestamp,unix,symbol,timeframe,type,entry,open,high,low,atr,rsi,ema8,ema21,ema_diff,is_trending,is_volatile,bull_score,bear_score,outcome,pnl,sl,tp,hold_candles
2026-03-01T13:55:00.000Z,1772373300,cryBTCUSD,300,BUY,67116.218,67116.218,67116.218,67116.218,165.69979,100,66483.08627,66404.10864,78.97763,1,1,2,0,SL,-165.69979,66950.51821,67364.76768,300
2026-03-01T16:30:00.000Z,1772382600,cryBTCUSD,300,BUY,67006.733,66992.671,67006.733,66934.308,152.05414,4.21,66950.73403,66941.39438,9.33965,1,1,2,0,SL,-152.05414,66854.67886,67234.81421,600
2026-03-01T16:45:00.000Z,1772383500,cryBTCUSD,300,SELL,66765.641,66790.744,66798.751,66765.641,147.37543,2.19,66922.37934,66932.95751,-10.57817,1,1,0,2,SL,-147.37543,66913.01643,66544.57786,300
2026-03-01T16:50:00.000Z,1772383800,cryBTCUSD,300,SELL,66057.806,66067.58,66170.398,66057.806,211.03107,79.52,66730.5326,66853.5131,-122.9805,1,1,0,2,SL,-211.03107,66268.83707,65741.25939,300
2026-03-28T08:55:00.000Z,1774688100,cryBTCUSD,300,SELL,66369.777,66369.931,66369.96,66369.777,48.28593,0.34,66426.45846,66429.89964,-3.44118,1,1,0,2,SL,-48.28593,66418.06293,66297.34811,300
2026-03-28T10:25:00.000Z,1774693500,cryBTCUSD,300,SELL,66215.446,66215.448,66215.448,66215.446,49.68043,0,66271.10983,66306.62502,-35.51518,1,1,0,2,SL,-49.68043,66265.12643,66140.92536,300
2026-03-28T10:30:00.000Z,1774693800,cryBTCUSD,300,SELL,66133.977,66133.977,66133.977,66133.977,54.26107,0,66240.78409,66290.99038,-50.20629,1,1,0,2,SL,-54.26107,66188.23807,66052.58539,300
2026-03-28T23:05:00.000Z,1774739100,cryBTCUSD,300,SELL,66625.067,66625.067,66625.067,66625.067,65.36414,0.05,66694.93213,66724.21459,-29.28246,0,1,0,1,SL,-65.36414,66690.43114,66494.33871,300
2026-03-29T00:25:00.000Z,1774743900,cryBTCUSD,300,SELL,66311.398,66311.398,66311.398,66311.398,81.73807,0,66373.76483,66447.52353,-73.75869,0,1,0,1,SL,-81.73807,66393.13607,66147.92186,300
2026-03-29T01:40:00.000Z,1774748400,cryBTCUSD,300,SELL,66350.574,66350.574,66350.574,66350.574,69.10493,0,66448.79548,66447.27907,1.5164,0,1,0,1,SL,-69.10493,66419.67893,66212.36414,300
2026-03-29T02:35:00.000Z,1774751700,cryBTCUSD,300,SELL,66563.516,66563.516,66563.516,66563.516,73.8885,0,66573.4776,66523.49497,49.98263,0,1,0,1,SL,-73.8885,66637.4045,66415.739,0
2026-03-29T06:25:00.000Z,1774765500,cryBTCUSD,300,SELL,66656.498,66656.498,66656.498,66656.498,67.76279,0,66736.15808,66730.84777,5.31031,0,1,0,2,SL,-67.76279,66724.26079,66520.97243,300
2026-03-29T14:30:00.000Z,1774794600,cryBTCUSD,300,SELL,66501.609,66501.609,66501.609,66501.609,82.08164,0,66556.82286,66601.42127,-44.59841,0,1,0,2,SL,-82.08164,66583.69064,66337.44571,300
2026-03-31T12:15:00.000Z,1774959300,cryBTCUSD,300,SELL,66541.931,66541.931,66541.931,66541.931,144.06921,0.13,66631.79225,66577.28998,54.50227,0,1,0,1,SL,-144.06921,66686.00021,66253.79257,300
2026-04-01T00:45:00.000Z,1775004300,cryBTCUSD,300,BUY,68031.207,68031.207,68031.207,68031.207,112.95486,100,68012.25593,68082.79528,-70.53935,0,1,1,0,TP,225.90971,67918.25214,68257.11671,300
2026-04-01T03:05:00.000Z,1775012700,cryBTCUSD,300,BUY,67756.098,67756.098,67756.098,67756.098,112.19386,100,67671.3417,67767.93078,-96.58908,0,1,2,0,TP,3.30471,5367.43549,5372.50271,300
2026-04-01T08:40:00.000Z,1775032800,cryBTCUSD,300,BUY,68795.048,68795.048,68795.048,68795.048,105.63107,100,68693.25289,68726.66135,-33.40847,0,1,2,0,TP,4.60168,5383.47477,5390.53068,0
2026-04-01T09:30:00.000Z,1775035800,cryBTCUSD,300,BUY,68527.347,68527.347,68527.347,68527.347,116.23643,99.82,68521.51729,68611.06459,-89.5473,0,1,1,0,SL,-116.23643,68411.11057,68759.81986,300
2026-04-01T12:45:00.000Z,1775047500,cryBTCUSD,300,BUY,68706.095,68706.095,68706.095,68706.095,137.70057,98.44,68503.55232,68524.11584,-20.56352,0,1,1,0,SL,-137.70057,68568.39443,68981.49614,300
2026-04-01T14:30:00.000Z,1775053800,cryBTCUSD,300,BUY,68485.486,68485.486,68485.486,68485.486,206.67007,99.98,68306.40652,68322.06685,-15.66033,0,1,2,0,SL,-206.67007,68278.81593,68898.82614,0
2026-04-01T17:05:00.000Z,1775063100,cryBTCUSD,300,BUY,69040.43,69040.43,69040.43,69040.43,155.233,99.94,68856.65327,68761.14894,95.50433,0,1,2,0,SL,-155.233,68885.197,69350.896,300
2026-04-02T14:30:00.000Z,1775140200,cryBTCUSD,300,SELL,66222.526,66222.526,66222.526,66222.526,175.78257,0.07,66242.69098,66160.29293,82.39805,0,1,0,1,SL,-175.78257,66398.30857,65870.96086,0
2026-04-02T15:20:00.000Z,1775143200,cryBTCUSD,300,SELL,66769.518,66769.518,66769.518,66769.518,219.29771,0,66755.56572,66550.59994,204.96578,0,1,0,0,SL,-219.29771,66988.81571,66330.92257,4200
2026-04-02T17:05:00.000Z,1775149500,cryBTCUSD,300,SELL,66885.787,66885.787,66885.787,66885.787,130.71779,0,66999.85664,66895.98935,103.86729,0,1,0,1,SL,-130.71779,67016.50479,66624.35143,300
2026-04-02T20:50:00.000Z,1775163000,cryBTCUSD,300,SELL,66945.815,66945.815,66945.815,66945.815,105.73443,0,66963.95901,66932.32268,31.63633,0,1,0,1,TP,211.46886,67051.54943,66734.34614,1200
2026-04-04T12:00:00.000Z,1775304000,cryBTCUSD,300,BUY,67141.204,67128.85,67150.042,67100.824,40.24236,52.21,67099.49596,67065.59175,33.90421,0,1,1,0,SL,-40.24236,67100.96164,67201.56754,300
2026-04-04T12:00:00.000Z,1775304000,cryBTCUSD,300,BUY,67141.205,67128.85,67150.042,67100.824,40.24236,62.51,67099.49596,67065.59175,33.90421,0,1,1,0,SL,-40.24236,67100.96264,67201.56854,300
